	Ssp1	Step	Hsp1	Hsp2	Sove	Pmug	Pfle	Lhsp	Hbiv	Hssp	Nyam	Ntyl	Cumu	Gmug	Gzhu	Llle	Lpil	Lkao	Ltri	Lmir	Pbig
70	0	0	135	0	0	1784	1533	0	0	0	40	0	8	0	0	9	65	0	0	0	1
71	0	0	435	0	0	0	0	0	0	0	9	0	0	0	0	19	5	0	0	4	0
72	0	0	205	0	0	0	0	0	0	0	9	0	0	0	0	0	1	0	3	0	1
73	0	0	790	0	0	0	0	0	0	0	2	0	1	0	0	82	0	0	54	0	0
74	0	0	208	0	0	0	0	0	0	0	0	7	0	0	0	50	0	0	30	0	0
75	0	0	526	0	0	0	6	0	0	0	0	0	0	0	0	30	45	0	11	4	0
76	0	0	16	0	0	0	0	0	0	0	4	0	0	0	0	109	8	0	39	0	0
77	0	0	355	0	0	3	1	0	0	0	13	0	7	0	0	11	4	0	3	1	0
78	0	0	755	0	0	0	0	0	0	2	2	0	5	0	0	3	0	0	0	0	0
79	0	0	1920	0	0	10	1	0	0	0	0	4	6	0	0	63	0	0	13	0	0
80	0	0	50	0	0	0	66	0	0	0	0	5	0	0	0	110	13	6	5	14	0
81	0	0	60	0	0	41	82	0	0	0	0	0	0	0	0	3	0	0	0	0	6
82	0	0	495	0	0	0	0	0	0	0	2	0	0	0	0	110	10	8	14	6	3
83	0	0	125	0	0	10	9	0	0	0	6	0	0	0	0	29	12	2	2	1	0
84	0	0	92	0	0	4	25	0	0	0	0	13	8	0	0	35	14	0	5	1	0
85	0	0	105	3	0	0	0	22	0	0	21	0	0	0	0	2	0	0	0	6	0
86	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	15	12	0	0	2	0
87	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	133	34	0	56	13	0
88	1	0	0	0	0	0	7	0	2	7	0	1	4	0	0	314	22	0	39	51	0
89	0	0	0	0	0	1	1	0	0	0	1	5	2	0	0	27	2	0	5	7	1
90	0	0	2550	0	0	0	0	0	6	0	2	0	0	0	0	0	0	0	0	3	0
91	0	0	160	0	0	0	0	0	0	0	5	0	0	0	0	35	21	0	22	9	2
92	0	0	273	0	0	21	1	0	0	0	0	3	3	0	0	12	7	0	4	10	0
93	0	0	18	0	0	109	3	0	0	0	0	0	1	0	0	18	53	0	10	0	0
94	0	0	630	0	0	0	0	0	0	0	8	0	0	0	0	35	7	0	21	0	2
95	0	0	211	0	0	9	0	0	0	0	0	1	1	0	0	228	13	1	184	67	0
96	0	0	550	0	0	0	0	0	0	0	1	0	0	0	0	42	28	1	3	0	1
97	0	0	100	0	0	0	0	0	0	0	0	6	7	0	0	0	8	0	0	0	0
98	0	0	241	0	0	0	2	0	1	0	5	0	11	0	0	38	0	0	0	6	0
99	0	0	415	0	0	0	0	0	0	0	3	0	0	0	0	29	25	4	15	3	0
100	0	0	257	0	0	0	4	0	0	0	0	0	6	0	0	27	16	0	25	5	0
101	0	0	960	0	0	430	0	0	1	0	0	4	9	0	0	39	26	0	14	0	0
102	0	0	1130	0	0	14	44	0	6	0	0	0	8	0	0	29	14	0	9	0	0
103	0	0	725	0	0	3	0	0	0	0	5	0	10	0	0	21	19	0	0	0	0
104	0	0	4110	0	0	58	2	0	0	0	0	1	2	0	0	8	0	0	12	0	0
105	0	0	3746	0	0	0	7	0	3	0	6	0	5	0	0	24	14	2	2	0	12
106	0	0	1110	0	0	0	0	0	2	0	3	0	6	0	0	4	0	0	0	18	0
107	0	0	1040	0	0	0	23	0	0	0	0	0	0	0	0	57	0	0	41	0	0
108	0	0	3212	0	0	12	46	0	16	0	0	1	0	0	0	31	6	0	8	0	0
109	0	0	3305	0	0	30	0	0	1	0	1	0	5	0	0	18	2	0	5	2	0
110	0	0	165	0	0	1	1	0	0	2	0	0	2	0	0	85	75	2	0	0	0
111	0	0	482	0	0	1374	196	0	0	0	1	0	0	0	0	40	19	0	0	17	0
112	0	0	90	0	0	0	0	0	0	0	0	0	4	0	0	49	29	0	0	39	0
113	0	0	123	0	0	13	4	0	2	0	14	0	3	0	0	38	10	0	10	0	0
114	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
115	0	0	956	0	0	16	2	0	0	0	0	0	0	0	0	13	6	0	0	2	0
116	1	0	28	0	0	1746	259	0	0	0	0	0	0	0	0	12	8	0	3	18	0
117	0	0	6000	0	0	628	210	0	0	0	0	0	0	0	0	36	2	0	0	34	0
118	0	0	1551	0	0	243	91	0	0	0	0	0	0	0	2	42	13	0	0	8	0
119	0	0	406	0	0	0	8	0	0	0	5	0	2	0	0	14	3	0	0	8	0
120	0	0	360	0	0	1	2	0	0	0	2	0	0	0	0	20	0	0	0	5	0
121	0	0	225	0	0	2388	311	0	0	0	15	0	0	0	0	100	0	0	0	8	0
122	0	0	237	0	0	39	4	0	0	0	3	0	1	0	0	180	62	0	5	15	0
123	0	0	1500	0	0	53	7	0	0	0	0	7	0	0	0	12	16	0	1	0	0
124	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	187	158	5	8	65	0
125	0	0	124	0	0	95	42	0	0	0	0	0	0	0	0	11	0	0	0	0	0
126	0	0	250	0	0	39	5	0	0	0	0	4	0	0	0	11	4	0	0	1	0
